province,region,stncode,lat,lng
Bangkok,c,455203,13.72,100.57
KamphaengPhet,c,380201,16.29,99.32
ChaiNat,c,402301,15.19,100.13
NakhonNayok,c,431301,14.383,101.191
NakhonPathom,c,451301,14.03,99.95
NakhonSawan,c,400201,15.8,100.167
Nonthaburi,c,455601,13.917,100.6
PathumThani,c,419301,14.02,100.53
PhraNakhonSiAyutthaya,c,415301,14.37,100.59
Phichit,c,386301,16.261,100.173
Phitsanulok,c,378201,16.47,100.16
LopBuri,c,426201,14.8,100.617
SamutPrakan,c,429301,13.59,100.59
SamutSongkhram,c,455203,13.72,100.57
SamutSakhon,c,455203,13.72,100.57
Saraburi,c,431401,14.438,102.107
SingBuri,c,425301,14.43,99.88
SuphanBuri,c,425201,14.467,100.133
Sukhothai,c,373201,17.622,99.48
UthaiThani,c,426401,15.16,101.24
AngThong,c,426401,15.16,101.24
Phetchabun,c,379201,16.26,101.9
Chanthaburi,e,480201,12.6,102.117
Chachoengsao,e,423301,13.305,101.273
ChonBuri,e,459201,13.367,100.983
Trat,e,501201,11.46,102.53
PrachinBuri,e,430201,14.05,101.367
Rayong,e,478201,12.707,101.147
SaKaeo,e,440401,13.79,102.138
Kanchanaburi,w,450201,14.017,99.533
Tak,w,376201,16.524,99.836
PrachuapKhiriKhan,w,500201,11.5,99.5
Ratchaburi,w,424301,13.53,99.81
Phetchaburi,w,465201,12.595,100.338
Nan,n,331201,18.464,100.46
Phayao,n,310201,19.8,99.54
Lampang,n,328201,18.17,99.31
Lamphun,n,329201,18.34,99.2
Uttaradit,n,351201,17.37,100.6
ChiangRai,n,303201,19.574,99.525
ChiangMai,n,327501,18.472,98.583
Phrae,n,330201,18.1,100.1
MaeHongSon,n,300201,19.18,97.5
Kalasin,ne,388401,16.195,103.351
KhonKaen,ne,381201,16.274,102.471
Chaiyaphum,ne,403201,15.48,102.2
NakhonPhanom,ne,357201,17.25,104.47
NakhonRatchasima,ne,431201,14.574,102.436
BuriRam,ne,436201,15.13,103.14
MahaSarakham,ne,387401,16.145,103.45
Mukdahan,ne,383201,16.32,104.43
Yasothon,ne,405201,16.3,103.41
RoiEt,ne,405201,16.3,103.41
SiSaKet,ne,409301,15.2,104.15
SakonNakhon,ne,356301,17.7,104.3
Surin,ne,432201,14.53,103.3
NongKhai,ne,352201,17.52,102.43
NongBuaLamPhu,ne,360201,17.105,102.261
AmnatCharoen,ne,383201,16.32,104.43
UdonThani,ne,354201,17.23,102.48
UbonRatchathani,ne,407501,15.15,104.52
Loei,ne,353201,17.27,101.44
Krabi,s,566202,8.3,98.54
Chumphon,s,517201,10.29,99.11
Trang,s,567201,7.31,99.37
NakhonSiThammarat,s,552201,8.321,99.565
Narathiwat,s,583201,6.25,101.49
Pattani,s,580201,6.47,101.9
Phang-nga,s,561201,8.413,98.158
Phatthalung,s,560301,7.35,100.1
Phuket,s,564201,7.53,98.24
Yala,s,581301,6.31,101.17
Ranong,s,532201,9.59,98.37
Songkhla,s,568501,7.121,100.361
Satun,s,570201,6.39,100.5
SuratThani,s,551201,9.88,99.97
